angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.23,,,"[435, 132, 298, 383]",,,0.0,,,0.19,,,0.01,,,0.27,,,0.31,,,0.0,,
0.16,,,"[435, 133, 295, 385]",,,0.0,,,0.28,,,0.01,,,0.3,,,0.25,,,0.0,,
0.21,,,"[433, 132, 297, 391]",,,0.0,,,0.19,,,0.01,,,0.3,,,0.29,,,0.0,,
0.19,,,"[432, 129, 301, 392]",,,0.0,,,0.17,,,0.01,,,0.34,,,0.29,,,0.0,,
0.19,,,"[431, 128, 304, 398]",,,0.0,,,0.16,,,0.01,,,0.38,,,0.26,,,0.0,,
0.21,,,"[434, 130, 300, 393]",,,0.0,,,0.19,,,0.01,,,0.31,,,0.28,,,0.0,,
0.23,,,"[441, 133, 293, 391]",,,0.0,,,0.16,,,0.01,,,0.33,,,0.28,,,0.0,,
0.19,,,"[435, 133, 300, 391]",,,0.0,,,0.23,,,0.0,,,0.32,,,0.25,,,0.0,,
0.1,,,"[426, 132, 302, 388]",,,0.0,,,0.11,,,0.01,,,0.31,,,0.47,,,0.0,,
0.04,,,"[427, 137, 297, 378]",,,0.0,,,0.06,,,0.01,,,0.64,,,0.24,,,0.0,,
0.06,,,"[424, 138, 298, 380]",,,0.0,,,0.06,,,0.0,,,0.38,,,0.49,,,0.0,,
0.07,,,"[411, 130, 312, 391]",,,0.0,,,0.05,,,0.0,,,0.57,,,0.31,,,0.0,,
0.23,,,"[417, 131, 303, 388]",,,0.0,,,0.06,,,0.01,,,0.46,,,0.24,,,0.0,,
0.17,,,"[403, 124, 317, 408]",,,0.0,,,0.1,,,0.02,,,0.5,,,0.2,,,0.0,,
0.2,,,"[402, 121, 319, 416]",,,0.0,,,0.18,,,0.03,,,0.4,,,0.18,,,0.02,,
0.16,,,"[401, 120, 320, 418]",,,0.0,,,0.23,,,0.04,,,0.4,,,0.15,,,0.02,,
0.17,,,"[400, 123, 321, 409]",,,0.0,,,0.18,,,0.04,,,0.38,,,0.23,,,0.01,,
0.15,,,"[399, 118, 321, 410]",,,0.0,,,0.17,,,0.02,,,0.43,,,0.22,,,0.0,,
0.15,,,"[398, 120, 320, 407]",,,0.0,,,0.17,,,0.01,,,0.48,,,0.18,,,0.01,,
0.15,,,"[398, 122, 309, 408]",,,0.0,,,0.14,,,0.03,,,0.46,,,0.21,,,0.01,,
0.13,,,"[398, 119, 313, 408]",,,0.0,,,0.13,,,0.02,,,0.47,,,0.24,,,0.01,,
0.11,,,"[402, 117, 318, 400]",,,0.0,,,0.09,,,0.01,,,0.61,,,0.18,,,0.0,,
0.12,,,"[404, 117, 314, 403]",,,0.0,,,0.13,,,0.01,,,0.54,,,0.2,,,0.01,,
0.14,,,"[407, 118, 311, 402]",,,0.0,,,0.11,,,0.02,,,0.52,,,0.21,,,0.0,,
0.13,,,"[413, 125, 310, 388]",,,0.0,,,0.15,,,0.01,,,0.44,,,0.26,,,0.0,,
0.13,,,"[409, 123, 312, 391]",,,0.0,,,0.14,,,0.02,,,0.46,,,0.26,,,0.0,,
0.1,,,"[407, 114, 314, 408]",,,0.0,,,0.13,,,0.04,,,0.51,,,0.21,,,0.0,,
0.16,,,"[414, 121, 307, 396]",,,0.0,,,0.18,,,0.02,,,0.24,,,0.4,,,0.0,,
0.17,,,"[415, 121, 309, 395]",,,0.0,,,0.14,,,0.03,,,0.26,,,0.4,,,0.0,,
0.15,,,"[411, 123, 312, 392]",,,0.0,,,0.14,,,0.03,,,0.24,,,0.42,,,0.0,,
0.15,,,"[412, 120, 311, 395]",,,0.0,,,0.24,,,0.02,,,0.19,,,0.4,,,0.0,,
0.17,,,"[411, 121, 311, 385]",,,0.0,,,0.12,,,0.01,,,0.44,,,0.27,,,0.0,,
0.22,,,"[418, 121, 308, 382]",,,0.0,,,0.12,,,0.01,,,0.36,,,0.29,,,0.0,,
0.18,,,"[414, 114, 304, 389]",,,0.0,,,0.12,,,0.0,,,0.46,,,0.23,,,0.0,,
0.2,,,"[415, 113, 304, 391]",,,0.0,,,0.12,,,0.01,,,0.46,,,0.21,,,0.01,,
0.25,,,"[422, 122, 307, 379]",,,0.0,,,0.1,,,0.01,,,0.41,,,0.23,,,0.0,,
0.23,,,"[416, 120, 311, 384]",,,0.0,,,0.11,,,0.01,,,0.39,,,0.26,,,0.0,,
0.18,,,"[406, 99, 320, 422]",,,0.0,,,0.2,,,0.04,,,0.42,,,0.13,,,0.02,,
0.16,,,"[408, 111, 304, 392]",,,0.0,,,0.34,,,0.03,,,0.19,,,0.28,,,0.01,,
0.09,,,"[400, 113, 317, 395]",,,0.0,,,0.11,,,0.04,,,0.48,,,0.27,,,0.0,,
0.08,,,"[391, 103, 317, 410]",,,0.0,,,0.06,,,0.1,,,0.47,,,0.28,,,0.0,,
0.12,,,"[392, 106, 315, 403]",,,0.0,,,0.08,,,0.05,,,0.3,,,0.44,,,0.0,,
0.19,,,"[388, 107, 315, 390]",,,0.0,,,0.15,,,0.02,,,0.19,,,0.44,,,0.01,,
0.28,,,"[388, 113, 313, 378]",,,0.0,,,0.13,,,0.0,,,0.24,,,0.32,,,0.02,,
0.22,,,"[384, 120, 311, 371]",,,0.0,,,0.1,,,0.0,,,0.33,,,0.34,,,0.01,,
0.19,,,"[372, 118, 317, 380]",,,0.0,,,0.11,,,0.0,,,0.42,,,0.25,,,0.02,,
0.14,,,"[376, 124, 305, 371]",,,0.0,,,0.06,,,0.0,,,0.6,,,0.19,,,0.0,,
0.26,,,"[372, 119, 308, 370]",,,0.0,,,0.16,,,0.0,,,0.19,,,0.36,,,0.03,,
0.12,,,"[366, 110, 315, 397]",,,0.0,,,0.12,,,0.01,,,0.2,,,0.52,,,0.02,,
0.1,,,"[364, 104, 314, 397]",,,0.0,,,0.2,,,0.02,,,0.11,,,0.54,,,0.03,,
0.05,,,"[365, 104, 315, 405]",,,0.0,,,0.08,,,0.02,,,0.03,,,0.8,,,0.03,,
0.06,,,"[366, 100, 318, 407]",,,0.0,,,0.1,,,0.01,,,0.02,,,0.78,,,0.03,,
0.05,,,"[368, 95, 320, 406]",,,0.0,,,0.18,,,0.01,,,0.01,,,0.67,,,0.07,,
0.06,,,"[374, 99, 317, 398]",,,0.0,,,0.19,,,0.02,,,0.03,,,0.64,,,0.05,,
0.09,,,"[375, 96, 325, 404]",,,0.0,,,0.19,,,0.12,,,0.07,,,0.46,,,0.07,,
0.05,,,"[388, 109, 305, 389]",,,0.0,,,0.1,,,0.05,,,0.08,,,0.71,,,0.01,,
0.09,,,"[381, 106, 317, 399]",,,0.0,,,0.15,,,0.08,,,0.13,,,0.53,,,0.03,,
0.06,,,"[396, 115, 313, 388]",,,0.0,,,0.13,,,0.04,,,0.12,,,0.65,,,0.01,,
0.07,,,"[395, 119, 314, 385]",,,0.0,,,0.16,,,0.02,,,0.1,,,0.64,,,0.01,,
0.18,,,"[395, 110, 313, 393]",,,0.0,,,0.14,,,0.05,,,0.28,,,0.34,,,0.01,,
0.2,,,"[404, 110, 316, 389]",,,0.0,,,0.27,,,0.01,,,0.22,,,0.3,,,0.01,,
0.18,,,"[410, 109, 315, 384]",,,0.0,,,0.25,,,0.01,,,0.23,,,0.31,,,0.02,,
0.13,,,"[421, 120, 307, 380]",,,0.0,,,0.16,,,0.01,,,0.24,,,0.45,,,0.01,,
0.12,,,"[427, 121, 302, 374]",,,0.0,,,0.3,,,0.03,,,0.11,,,0.43,,,0.02,,
0.15,,,"[424, 111, 309, 386]",,,0.0,,,0.11,,,0.1,,,0.09,,,0.54,,,0.0,,
0.05,,,"[412, 100, 310, 413]",,,0.0,,,0.15,,,0.05,,,0.11,,,0.64,,,0.0,,
0.05,,,"[425, 110, 313, 393]",,,0.0,,,0.08,,,0.01,,,0.01,,,0.85,,,0.01,,
0.06,,,"[417, 95, 313, 420]",,,0.0,,,0.09,,,0.01,,,0.05,,,0.79,,,0.0,,
0.06,,,"[423, 98, 311, 416]",,,0.0,,,0.07,,,0.04,,,0.07,,,0.76,,,0.0,,
0.08,,,"[427, 100, 306, 405]",,,0.0,,,0.12,,,0.04,,,0.15,,,0.6,,,0.0,,
0.11,,,"[433, 102, 313, 406]",,,0.0,,,0.16,,,0.03,,,0.36,,,0.34,,,0.0,,
0.1,,,"[433, 105, 310, 407]",,,0.0,,,0.09,,,0.04,,,0.43,,,0.34,,,0.0,,
0.09,,,"[442, 107, 312, 410]",,,0.0,,,0.08,,,0.06,,,0.44,,,0.32,,,0.0,,
0.08,,,"[446, 116, 313, 408]",,,0.0,,,0.06,,,0.19,,,0.38,,,0.29,,,0.0,,
0.09,,,"[455, 116, 310, 405]",,,0.0,,,0.09,,,0.04,,,0.59,,,0.18,,,0.0,,
0.14,,,"[471, 121, 300, 393]",,,0.0,,,0.12,,,0.01,,,0.39,,,0.34,,,0.0,,
0.11,,,"[480, 127, 294, 393]",,,0.0,,,0.07,,,0.01,,,0.6,,,0.21,,,0.0,,
0.14,,,"[486, 125, 300, 397]",,,0.0,,,0.11,,,0.01,,,0.42,,,0.31,,,0.0,,
0.17,,,"[489, 121, 316, 412]",,,0.0,,,0.11,,,0.11,,,0.29,,,0.32,,,0.01,,
0.11,,,"[506, 120, 306, 408]",,,0.0,,,0.14,,,0.08,,,0.22,,,0.43,,,0.01,,
0.19,,,"[519, 121, 303, 417]",,,0.0,,,0.14,,,0.12,,,0.15,,,0.4,,,0.01,,
0.13,,,"[524, 122, 306, 410]",,,0.0,,,0.09,,,0.03,,,0.07,,,0.67,,,0.0,,
0.12,,,"[521, 121, 308, 422]",,,0.0,,,0.07,,,0.11,,,0.07,,,0.63,,,0.0,,
0.07,,,"[509, 119, 311, 421]",,,0.0,,,0.1,,,0.11,,,0.13,,,0.6,,,0.0,,
0.05,,,"[498, 121, 315, 414]",,,0.0,,,0.14,,,0.03,,,0.14,,,0.63,,,0.0,,
0.05,,,"[482, 116, 314, 418]",,,0.0,,,0.08,,,0.03,,,0.12,,,0.72,,,0.0,,
0.05,,,"[467, 112, 323, 428]",,,0.0,,,0.06,,,0.03,,,0.09,,,0.77,,,0.0,,
0.12,,,"[455, 112, 331, 435]",,,0.0,,,0.09,,,0.03,,,0.1,,,0.66,,,0.0,,
0.22,,,"[470, 129, 310, 395]",,,0.0,,,0.06,,,0.02,,,0.14,,,0.55,,,0.0,,
0.14,,,"[441, 118, 325, 424]",,,0.0,,,0.07,,,0.05,,,0.29,,,0.44,,,0.0,,
0.2,,,"[433, 117, 326, 422]",,,0.0,,,0.08,,,0.03,,,0.34,,,0.35,,,0.0,,
0.23,,,"[440, 133, 309, 396]",,,0.0,,,0.08,,,0.05,,,0.32,,,0.31,,,0.0,,
0.31,,,"[432, 138, 311, 397]",,,0.0,,,0.13,,,0.03,,,0.18,,,0.35,,,0.0,,
0.27,,,"[415, 135, 316, 400]",,,0.0,,,0.11,,,0.03,,,0.27,,,0.32,,,0.0,,
0.27,,,"[388, 135, 327, 422]",,,0.0,,,0.16,,,0.03,,,0.29,,,0.25,,,0.0,,
0.26,,,"[382, 130, 331, 426]",,,0.0,,,0.24,,,0.02,,,0.25,,,0.22,,,0.01,,
0.25,,,"[379, 136, 329, 424]",,,0.0,,,0.17,,,0.01,,,0.33,,,0.23,,,0.01,,
0.24,,,"[373, 138, 329, 429]",,,0.0,,,0.12,,,0.01,,,0.38,,,0.24,,,0.01,,
0.21,,,"[363, 147, 327, 416]",,,0.0,,,0.1,,,0.01,,,0.45,,,0.23,,,0.0,,
0.22,,,"[364, 156, 323, 404]",,,0.0,,,0.12,,,0.01,,,0.39,,,0.27,,,0.0,,
0.2,,,"[357, 159, 325, 411]",,,0.0,,,0.08,,,0.0,,,0.52,,,0.19,,,0.0,,
0.31,,,"[349, 162, 328, 419]",,,0.0,,,0.07,,,0.0,,,0.47,,,0.14,,,0.0,,
0.32,,,"[347, 167, 328, 416]",,,0.0,,,0.05,,,0.0,,,0.44,,,0.18,,,0.0,,
0.42,,,"[347, 165, 329, 421]",,,0.0,,,0.05,,,0.0,,,0.37,,,0.15,,,0.0,,
0.42,,,"[341, 159, 333, 428]",,,0.0,,,0.04,,,0.0,,,0.44,,,0.1,,,0.0,,
0.38,,,"[335, 155, 335, 429]",,,0.0,,,0.03,,,0.0,,,0.53,,,0.06,,,0.0,,
0.3,,,"[329, 151, 336, 428]",,,0.0,,,0.03,,,0.0,,,0.6,,,0.07,,,0.0,,
0.29,,,"[324, 147, 336, 428]",,,0.0,,,0.02,,,0.0,,,0.62,,,0.07,,,0.0,,
0.3,,,"[318, 151, 337, 424]",,,0.0,,,0.03,,,0.0,,,0.6,,,0.07,,,0.0,,
0.32,,,"[313, 148, 338, 423]",,,0.0,,,0.03,,,0.0,,,0.53,,,0.12,,,0.0,,
0.27,,,"[313, 137, 331, 433]",,,0.0,,,0.04,,,0.0,,,0.55,,,0.15,,,0.0,,
0.43,,,"[300, 126, 343, 427]",,,0.0,,,0.02,,,0.0,,,0.44,,,0.1,,,0.0,,
0.47,,,"[297, 121, 335, 420]",,,0.0,,,0.02,,,0.0,,,0.35,,,0.16,,,0.0,,
0.45,,,"[286, 109, 343, 425]",,,0.0,,,0.02,,,0.01,,,0.41,,,0.11,,,0.0,,
0.38,,,"[277, 105, 340, 418]",,,0.0,,,0.02,,,0.01,,,0.52,,,0.08,,,0.0,,
0.21,,,"[274, 85, 355, 436]",,,0.0,,,0.02,,,0.01,,,0.71,,,0.05,,,0.0,,
0.18,,,"[278, 78, 348, 429]",,,0.0,,,0.02,,,0.01,,,0.71,,,0.07,,,0.0,,
0.29,,,"[276, 82, 338, 421]",,,0.0,,,0.02,,,0.01,,,0.59,,,0.09,,,0.0,,
0.13,,,"[270, 53, 360, 437]",,,0.0,,,0.02,,,0.01,,,0.76,,,0.08,,,0.0,,
0.26,,,"[279, 54, 347, 422]",,,0.0,,,0.04,,,0.0,,,0.55,,,0.15,,,0.0,,
0.24,,,"[285, 45, 348, 426]",,,0.0,,,0.05,,,0.01,,,0.54,,,0.16,,,0.0,,
0.23,,,"[292, 33, 353, 435]",,,0.0,,,0.05,,,0.0,,,0.54,,,0.17,,,0.0,,
0.23,,,"[304, 32, 353, 428]",,,0.0,,,0.05,,,0.01,,,0.47,,,0.24,,,0.0,,
0.15,,,"[312, 19, 372, 439]",,,0.0,,,0.05,,,0.01,,,0.69,,,0.1,,,0.0,,
0.26,,,"[329, 23, 356, 438]",,,0.0,,,0.06,,,0.04,,,0.46,,,0.18,,,0.0,,
0.3,,,"[344, 28, 355, 441]",,,0.0,,,0.03,,,0.02,,,0.54,,,0.1,,,0.0,,
0.15,,,"[350, 20, 370, 453]",,,0.0,,,0.02,,,0.02,,,0.74,,,0.06,,,0.0,,
0.14,,,"[365, 25, 361, 446]",,,0.0,,,0.04,,,0.02,,,0.7,,,0.1,,,0.0,,
0.12,,,"[375, 31, 357, 442]",,,0.0,,,0.04,,,0.02,,,0.68,,,0.14,,,0.0,,
0.14,,,"[385, 53, 343, 423]",,,0.0,,,0.06,,,0.02,,,0.47,,,0.31,,,0.0,,
0.17,,,"[391, 67, 338, 417]",,,0.0,,,0.08,,,0.01,,,0.39,,,0.35,,,0.0,,
0.1,,,"[387, 47, 362, 454]",,,0.0,,,0.03,,,0.0,,,0.69,,,0.18,,,0.0,,
0.12,,,"[394, 86, 343, 418]",,,0.0,,,0.12,,,0.0,,,0.36,,,0.39,,,0.0,,
0.11,,,"[402, 98, 347, 421]",,,0.0,,,0.16,,,0.0,,,0.34,,,0.38,,,0.0,,
0.4,,,"[406, 97, 364, 444]",,,0.0,,,0.06,,,0.0,,,0.34,,,0.19,,,0.0,,
0.34,,,"[405, 111, 377, 461]",,,0.0,,,0.06,,,0.01,,,0.36,,,0.21,,,0.0,,
0.18,,,"[409, 134, 354, 431]",,,0.0,,,0.13,,,0.0,,,0.36,,,0.32,,,0.0,,
0.16,,,"[423, 138, 363, 443]",,,0.0,,,0.08,,,0.0,,,0.52,,,0.24,,,0.0,,
0.12,,,"[403, 140, 376, 442]",,,0.0,,,0.1,,,0.0,,,0.48,,,0.29,,,0.0,,
0.17,,,"[403, 164, 372, 434]",,,0.0,,,0.13,,,0.0,,,0.38,,,0.32,,,0.0,,
0.23,,,"[411, 182, 383, 447]",,,0.0,,,0.09,,,0.01,,,0.29,,,0.39,,,0.0,,
0.15,,,"[398, 184, 372, 431]",,,0.0,,,0.19,,,0.0,,,0.28,,,0.38,,,0.0,,
0.16,,,"[391, 200, 373, 428]",,,0.0,,,0.26,,,0.0,,,0.1,,,0.47,,,0.0,,
0.14,,,"[392, 212, 371, 424]",,,0.0,,,0.31,,,0.0,,,0.1,,,0.44,,,0.0,,
0.43,,,"[407, 210, 399, 462]",,,0.0,,,0.13,,,0.0,,,0.07,,,0.36,,,0.0,,
0.41,,,"[406, 219, 401, 464]",,,0.0,,,0.09,,,0.0,,,0.09,,,0.41,,,0.0,,
0.19,,,"[423, 225, 393, 451]",,,0.0,,,0.18,,,0.0,,,0.08,,,0.55,,,0.0,,
0.13,,,"[416, 240, 380, 437]",,,0.0,,,0.28,,,0.0,,,0.06,,,0.52,,,0.0,,
0.42,,,"[452, 238, 403, 477]",,,0.0,,,0.05,,,0.0,,,0.04,,,0.49,,,0.0,,
0.21,,,"[432, 240, 389, 439]",,,0.0,,,0.22,,,0.0,,,0.05,,,0.51,,,0.0,,
0.27,,,"[459, 223, 395, 446]",,,0.0,,,0.08,,,0.0,,,0.02,,,0.62,,,0.0,,
0.51,,,"[469, 202, 414, 476]",,,0.0,,,0.07,,,0.01,,,0.03,,,0.39,,,0.0,,
0.44,,,"[473, 169, 422, 481]",,,0.0,,,0.06,,,0.01,,,0.06,,,0.43,,,0.0,,
0.33,,,"[455, 148, 389, 452]",,,0.0,,,0.18,,,0.0,,,0.08,,,0.4,,,0.0,,
0.33,,,"[476, 120, 393, 453]",,,0.0,,,0.18,,,0.01,,,0.1,,,0.39,,,0.0,,
0.2,,,"[474, 81, 401, 459]",,,0.0,,,0.23,,,0.01,,,0.16,,,0.39,,,0.0,,
0.2,,,"[469, 45, 403, 465]",,,0.0,,,0.22,,,0.01,,,0.16,,,0.4,,,0.0,,
0.27,,,"[465, 19, 400, 464]",,,0.0,,,0.21,,,0.02,,,0.15,,,0.35,,,0.0,,
0.17,,,"[455, -42, 417, 500]",,,0.0,,,0.14,,,0.03,,,0.23,,,0.43,,,0.0,,
0.32,,,"[445, -88, 430, 526]",,,0.0,,,0.07,,,0.02,,,0.21,,,0.37,,,0.01,,
0.36,,,"[433, -122, 431, 550]",,,0.0,,,0.08,,,0.03,,,0.18,,,0.34,,,0.01,,
0.38,,,"[427, -133, 435, 557]",,,0.0,,,0.1,,,0.02,,,0.1,,,0.4,,,0.0,,
0.32,,,"[440, -103, 416, 534]",,,0.0,,,0.11,,,0.02,,,0.07,,,0.48,,,0.0,,
0.36,,,"[439, -58, 413, 498]",,,0.0,,,0.12,,,0.01,,,0.1,,,0.4,,,0.0,,
0.39,,,"[437, -38, 408, 509]",,,0.0,,,0.16,,,0.01,,,0.08,,,0.35,,,0.0,,
0.18,,,"[428, 21, 390, 466]",,,0.0,,,0.15,,,0.01,,,0.11,,,0.55,,,0.0,,
0.2,,,"[421, 64, 380, 451]",,,0.0,,,0.17,,,0.01,,,0.09,,,0.53,,,0.0,,
0.15,,,"[408, 94, 388, 452]",,,0.0,,,0.18,,,0.02,,,0.11,,,0.54,,,0.0,,
0.14,,,"[398, 123, 383, 449]",,,0.0,,,0.21,,,0.03,,,0.08,,,0.54,,,0.0,,
0.26,,,"[390, 133, 382, 460]",,,0.0,,,0.21,,,0.03,,,0.1,,,0.39,,,0.0,,
0.32,,,"[389, 149, 394, 452]",,,0.0,,,0.27,,,0.02,,,0.14,,,0.24,,,0.0,,
0.24,,,"[374, 155, 390, 444]",,,0.0,,,0.18,,,0.07,,,0.29,,,0.22,,,0.0,,
0.15,,,"[354, 150, 394, 443]",,,0.0,,,0.22,,,0.09,,,0.32,,,0.22,,,0.0,,
0.06,,,"[339, 164, 365, 417]",,,0.0,,,0.23,,,0.07,,,0.31,,,0.34,,,0.0,,
0.12,,,"[318, 152, 371, 416]",,,0.0,,,0.12,,,0.06,,,0.29,,,0.41,,,0.0,,
0.17,,,"[322, 142, 388, 431]",,,0.0,,,0.12,,,0.06,,,0.34,,,0.3,,,0.0,,
0.13,,,"[311, 138, 383, 425]",,,0.0,,,0.2,,,0.02,,,0.27,,,0.39,,,0.0,,
0.08,,,"[313, 148, 348, 408]",,,0.0,,,0.26,,,0.03,,,0.13,,,0.5,,,0.0,,
0.13,,,"[313, 133, 354, 426]",,,0.0,,,0.19,,,0.01,,,0.12,,,0.55,,,0.0,,
0.22,,,"[313, 118, 393, 469]",,,0.0,,,0.16,,,0.0,,,0.05,,,0.57,,,0.0,,
0.33,,,"[298, 109, 388, 460]",,,0.0,,,0.11,,,0.0,,,0.06,,,0.49,,,0.0,,
0.59,,,"[316, 108, 367, 447]",,,0.0,,,0.04,,,0.0,,,0.02,,,0.34,,,0.0,,
0.66,,,"[287, 105, 366, 441]",,,0.0,,,0.05,,,0.0,,,0.01,,,0.28,,,0.0,,
0.59,,,"[285, 94, 364, 440]",,,0.0,,,0.06,,,0.0,,,0.02,,,0.33,,,0.0,,
0.58,,,"[282, 80, 382, 472]",,,0.0,,,0.07,,,0.0,,,0.02,,,0.34,,,0.0,,
0.67,,,"[283, 83, 362, 445]",,,0.0,,,0.02,,,0.0,,,0.02,,,0.29,,,0.0,,
0.52,,,"[274, 67, 366, 453]",,,0.0,,,0.02,,,0.0,,,0.03,,,0.43,,,0.0,,
0.38,,,"[266, 62, 366, 455]",,,0.0,,,0.04,,,0.0,,,0.11,,,0.46,,,0.0,,
0.23,,,"[228, 64, 358, 439]",,,0.0,,,0.07,,,0.0,,,0.07,,,0.63,,,0.0,,
0.11,,,"[222, 64, 355, 435]",,,0.0,,,0.07,,,0.01,,,0.16,,,0.65,,,0.0,,
0.2,,,"[241, 59, 361, 444]",,,0.0,,,0.05,,,0.01,,,0.3,,,0.43,,,0.0,,
0.11,,,"[242, 62, 358, 446]",,,0.0,,,0.03,,,0.01,,,0.41,,,0.45,,,0.0,,
0.08,,,"[228, 86, 339, 424]",,,0.0,,,0.03,,,0.01,,,0.17,,,0.71,,,0.0,,
0.11,,,"[229, 88, 340, 420]",,,0.0,,,0.05,,,0.02,,,0.22,,,0.6,,,0.0,,
0.13,,,"[225, 91, 343, 419]",,,0.0,,,0.04,,,0.01,,,0.3,,,0.51,,,0.0,,
0.1,,,"[214, 84, 363, 424]",,,0.0,,,0.03,,,0.01,,,0.38,,,0.47,,,0.0,,
0.13,,,"[218, 86, 360, 425]",,,0.0,,,0.03,,,0.01,,,0.4,,,0.43,,,0.0,,
0.11,,,"[228, 94, 345, 417]",,,0.0,,,0.03,,,0.01,,,0.32,,,0.53,,,0.0,,
0.32,,,"[221, 86, 385, 455]",,,0.0,,,0.03,,,0.04,,,0.26,,,0.33,,,0.02,,
0.37,,,"[228, 98, 376, 444]",,,0.0,,,0.02,,,0.04,,,0.17,,,0.39,,,0.01,,
0.39,,,"[238, 106, 367, 438]",,,0.0,,,0.03,,,0.04,,,0.21,,,0.33,,,0.01,,
0.32,,,"[239, 112, 364, 434]",,,0.0,,,0.03,,,0.03,,,0.19,,,0.42,,,0.01,,
0.14,,,"[244, 99, 368, 454]",,,0.0,,,0.04,,,0.02,,,0.42,,,0.37,,,0.01,,
0.08,,,"[248, 138, 319, 389]",,,0.0,,,0.02,,,0.03,,,0.21,,,0.66,,,0.0,,
0.07,,,"[237, 129, 329, 381]",,,0.0,,,0.01,,,0.04,,,0.19,,,0.68,,,0.0,,
0.09,,,"[240, 130, 328, 376]",,,0.0,,,0.02,,,0.05,,,0.21,,,0.64,,,0.0,,
0.07,,,"[245, 123, 325, 376]",,,0.0,,,0.02,,,0.04,,,0.22,,,0.66,,,0.0,,
0.06,,,"[253, 123, 325, 386]",,,0.0,,,0.02,,,0.07,,,0.24,,,0.61,,,0.0,,
0.06,,,"[261, 113, 325, 384]",,,0.0,,,0.03,,,0.11,,,0.19,,,0.61,,,0.0,,
0.05,,,"[280, 106, 336, 404]",,,0.0,,,0.03,,,0.03,,,0.38,,,0.52,,,0.0,,
0.1,,,"[290, 101, 336, 403]",,,0.0,,,0.03,,,0.04,,,0.37,,,0.45,,,0.0,,
0.19,,,"[308, 112, 327, 395]",,,0.0,,,0.05,,,0.03,,,0.34,,,0.39,,,0.0,,
0.26,,,"[318, 108, 324, 392]",,,0.0,,,0.05,,,0.02,,,0.44,,,0.22,,,0.0,,
0.19,,,"[322, 91, 338, 406]",,,0.0,,,0.07,,,0.02,,,0.47,,,0.25,,,0.0,,
0.24,,,"[333, 107, 319, 388]",,,0.0,,,0.04,,,0.01,,,0.31,,,0.41,,,0.0,,
0.19,,,"[341, 85, 352, 418]",,,0.0,,,0.1,,,0.02,,,0.41,,,0.28,,,0.0,,
0.22,,,"[348, 91, 347, 417]",,,0.0,,,0.08,,,0.01,,,0.45,,,0.23,,,0.0,,
0.22,,,"[350, 110, 317, 388]",,,0.0,,,0.06,,,0.01,,,0.36,,,0.35,,,0.0,,
0.37,,,"[368, 128, 322, 390]",,,0.0,,,0.02,,,0.0,,,0.32,,,0.28,,,0.0,,
0.38,,,"[367, 99, 342, 414]",,,0.0,,,0.07,,,0.0,,,0.25,,,0.3,,,0.0,,
0.24,,,"[368, 118, 327, 396]",,,0.0,,,0.13,,,0.01,,,0.44,,,0.18,,,0.0,,
0.22,,,"[383, 123, 329, 391]",,,0.0,,,0.13,,,0.01,,,0.4,,,0.24,,,0.0,,
0.12,,,"[392, 120, 338, 401]",,,0.0,,,0.1,,,0.01,,,0.55,,,0.22,,,0.0,,
0.13,,,"[404, 129, 325, 386]",,,0.0,,,0.09,,,0.0,,,0.51,,,0.27,,,0.0,,
0.17,,,"[402, 120, 339, 402]",,,0.0,,,0.1,,,0.02,,,0.44,,,0.26,,,0.0,,
0.27,,,"[404, 124, 337, 403]",,,0.0,,,0.12,,,0.01,,,0.38,,,0.22,,,0.0,,
0.14,,,"[403, 123, 309, 377]",,,0.0,,,0.12,,,0.0,,,0.25,,,0.49,,,0.0,,
0.47,,,"[386, 141, 338, 413]",,,0.0,,,0.03,,,0.01,,,0.34,,,0.15,,,0.0,,
0.66,,,"[373, 148, 329, 414]",,,0.0,,,0.04,,,0.0,,,0.18,,,0.12,,,0.0,,
0.46,,,"[365, 139, 337, 410]",,,0.0,,,0.13,,,0.0,,,0.12,,,0.28,,,0.0,,
0.73,,,"[368, 151, 326, 415]",,,0.0,,,0.07,,,0.0,,,0.11,,,0.09,,,0.0,,
0.58,,,"[372, 144, 328, 418]",,,0.0,,,0.09,,,0.0,,,0.21,,,0.1,,,0.0,,
0.7,,,"[367, 144, 327, 421]",,,0.0,,,0.07,,,0.0,,,0.12,,,0.1,,,0.0,,
0.71,,,"[374, 139, 328, 424]",,,0.0,,,0.07,,,0.0,,,0.15,,,0.07,,,0.01,,
0.64,,,"[377, 143, 321, 421]",,,0.0,,,0.08,,,0.0,,,0.16,,,0.12,,,0.0,,
0.58,,,"[381, 129, 330, 421]",,,0.0,,,0.07,,,0.01,,,0.23,,,0.11,,,0.0,,
0.49,,,"[382, 127, 333, 420]",,,0.0,,,0.09,,,0.01,,,0.28,,,0.13,,,0.0,,
0.54,,,"[386, 124, 333, 424]",,,0.0,,,0.08,,,0.01,,,0.24,,,0.12,,,0.0,,
0.42,,,"[391, 119, 328, 414]",,,0.0,,,0.06,,,0.01,,,0.36,,,0.16,,,0.0,,
