angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.19,,,"[383, 173, 229, 288]",,,0.0,,,0.05,,,0.01,,,0.35,,,0.4,,,0.0,,
0.18,,,"[377, 175, 231, 283]",,,0.0,,,0.07,,,0.01,,,0.28,,,0.46,,,0.0,,
0.16,,,"[380, 176, 227, 280]",,,0.0,,,0.08,,,0.01,,,0.41,,,0.34,,,0.0,,
0.15,,,"[380, 175, 228, 281]",,,0.0,,,0.08,,,0.01,,,0.39,,,0.37,,,0.0,,
0.17,,,"[380, 174, 228, 281]",,,0.0,,,0.06,,,0.01,,,0.41,,,0.35,,,0.0,,
0.17,,,"[382, 173, 226, 281]",,,0.0,,,0.06,,,0.0,,,0.41,,,0.36,,,0.0,,
0.25,,,"[383, 164, 231, 289]",,,0.0,,,0.05,,,0.01,,,0.39,,,0.3,,,0.0,,
0.2,,,"[384, 164, 230, 288]",,,0.0,,,0.08,,,0.02,,,0.27,,,0.43,,,0.0,,
0.15,,,"[383, 162, 233, 290]",,,0.0,,,0.06,,,0.04,,,0.31,,,0.44,,,0.0,,
0.14,,,"[380, 159, 236, 290]",,,0.0,,,0.02,,,0.03,,,0.59,,,0.22,,,0.0,,
0.1,,,"[376, 159, 235, 285]",,,0.0,,,0.02,,,0.03,,,0.72,,,0.13,,,0.0,,
0.17,,,"[375, 164, 233, 283]",,,0.0,,,0.03,,,0.05,,,0.54,,,0.2,,,0.0,,
0.09,,,"[372, 152, 240, 294]",,,0.0,,,0.03,,,0.04,,,0.57,,,0.26,,,0.0,,
0.1,,,"[374, 152, 241, 299]",,,0.0,,,0.05,,,0.02,,,0.37,,,0.46,,,0.0,,
0.14,,,"[374, 153, 241, 300]",,,0.0,,,0.06,,,0.03,,,0.22,,,0.55,,,0.01,,
0.19,,,"[377, 166, 233, 289]",,,0.0,,,0.03,,,0.01,,,0.18,,,0.6,,,0.0,,
0.11,,,"[377, 155, 237, 298]",,,0.0,,,0.06,,,0.03,,,0.45,,,0.35,,,0.0,,
0.16,,,"[376, 158, 237, 291]",,,0.0,,,0.03,,,0.02,,,0.63,,,0.17,,,0.0,,
0.15,,,"[379, 161, 235, 288]",,,0.0,,,0.02,,,0.01,,,0.64,,,0.18,,,0.0,,
0.12,,,"[380, 161, 235, 291]",,,0.0,,,0.01,,,0.01,,,0.76,,,0.1,,,0.0,,
0.09,,,"[381, 162, 236, 293]",,,0.0,,,0.04,,,0.02,,,0.63,,,0.22,,,0.0,,
0.12,,,"[385, 164, 233, 289]",,,0.0,,,0.04,,,0.01,,,0.62,,,0.2,,,0.0,,
0.09,,,"[384, 167, 231, 287]",,,0.0,,,0.05,,,0.02,,,0.64,,,0.19,,,0.0,,
0.12,,,"[385, 165, 233, 287]",,,0.0,,,0.05,,,0.02,,,0.64,,,0.17,,,0.0,,
0.07,,,"[386, 165, 232, 288]",,,0.0,,,0.06,,,0.02,,,0.69,,,0.16,,,0.0,,
0.11,,,"[386, 171, 229, 282]",,,0.0,,,0.07,,,0.02,,,0.62,,,0.19,,,0.0,,
0.14,,,"[384, 163, 236, 296]",,,0.0,,,0.07,,,0.02,,,0.58,,,0.19,,,0.0,,
0.19,,,"[381, 165, 238, 297]",,,0.0,,,0.09,,,0.01,,,0.35,,,0.35,,,0.01,,
0.25,,,"[387, 168, 230, 289]",,,0.0,,,0.09,,,0.01,,,0.24,,,0.39,,,0.01,,
0.23,,,"[389, 172, 236, 290]",,,0.0,,,0.08,,,0.01,,,0.23,,,0.45,,,0.0,,
0.25,,,"[393, 173, 230, 284]",,,0.0,,,0.09,,,0.01,,,0.32,,,0.33,,,0.0,,
0.21,,,"[396, 174, 228, 280]",,,0.0,,,0.08,,,0.0,,,0.3,,,0.42,,,0.0,,
0.17,,,"[399, 174, 224, 275]",,,0.0,,,0.07,,,0.0,,,0.39,,,0.37,,,0.0,,
0.16,,,"[398, 173, 227, 276]",,,0.0,,,0.05,,,0.0,,,0.46,,,0.33,,,0.0,,
0.19,,,"[397, 172, 229, 277]",,,0.0,,,0.05,,,0.0,,,0.4,,,0.37,,,0.0,,
0.2,,,"[397, 172, 229, 272]",,,0.0,,,0.06,,,0.0,,,0.43,,,0.31,,,0.0,,
0.16,,,"[396, 170, 231, 270]",,,0.0,,,0.11,,,0.0,,,0.44,,,0.28,,,0.0,,
