box,angry,disgust,fear,happy,sad,surprise,neutral
"[439, -58, 413, 498]",0.36,0.0,0.12,0.01,0.4,0.0,0.1
"[437, -38, 408, 509]",0.39,0.0,0.16,0.01,0.35,0.0,0.08
"[428, 21, 390, 466]",0.18,0.0,0.15,0.01,0.55,0.0,0.11
"[421, 64, 380, 451]",0.2,0.0,0.17,0.01,0.53,0.0,0.09
"[408, 94, 388, 452]",0.15,0.0,0.18,0.02,0.54,0.0,0.11
"[398, 123, 383, 449]",0.14,0.0,0.21,0.03,0.54,0.0,0.08
"[390, 133, 382, 460]",0.26,0.0,0.21,0.03,0.39,0.0,0.1
"[389, 149, 394, 452]",0.32,0.0,0.27,0.02,0.24,0.0,0.14
"[374, 155, 390, 444]",0.24,0.0,0.18,0.07,0.22,0.0,0.29
"[354, 150, 394, 443]",0.15,0.0,0.22,0.09,0.22,0.0,0.32
"[339, 164, 365, 417]",0.06,0.0,0.23,0.07,0.34,0.0,0.31
"[318, 152, 371, 416]",0.12,0.0,0.12,0.06,0.41,0.0,0.29
"[322, 142, 388, 431]",0.17,0.0,0.12,0.06,0.3,0.0,0.34
"[311, 138, 383, 425]",0.13,0.0,0.2,0.02,0.39,0.0,0.27
"[313, 148, 348, 408]",0.08,0.0,0.26,0.03,0.5,0.0,0.13
"[313, 133, 354, 426]",0.13,0.0,0.19,0.01,0.55,0.0,0.12
"[313, 118, 393, 469]",0.22,0.0,0.16,0.0,0.57,0.0,0.05
"[298, 109, 388, 460]",0.33,0.0,0.11,0.0,0.49,0.0,0.06
"[316, 108, 367, 447]",0.59,0.0,0.04,0.0,0.34,0.0,0.02
"[287, 105, 366, 441]",0.66,0.0,0.05,0.0,0.28,0.0,0.01
"[285, 94, 364, 440]",0.59,0.0,0.06,0.0,0.33,0.0,0.02
"[282, 80, 382, 472]",0.58,0.0,0.07,0.0,0.34,0.0,0.02
"[283, 83, 362, 445]",0.67,0.0,0.02,0.0,0.29,0.0,0.02
"[274, 67, 366, 453]",0.52,0.0,0.02,0.0,0.43,0.0,0.03
"[266, 62, 366, 455]",0.38,0.0,0.04,0.0,0.46,0.0,0.11
"[228, 64, 358, 439]",0.23,0.0,0.07,0.0,0.63,0.0,0.07
"[222, 64, 355, 435]",0.11,0.0,0.07,0.01,0.65,0.0,0.16
"[241, 59, 361, 444]",0.2,0.0,0.05,0.01,0.43,0.0,0.3
"[242, 62, 358, 446]",0.11,0.0,0.03,0.01,0.45,0.0,0.41
"[228, 86, 339, 424]",0.08,0.0,0.03,0.01,0.71,0.0,0.17
"[229, 88, 340, 420]",0.11,0.0,0.05,0.02,0.6,0.0,0.22
"[225, 91, 343, 419]",0.13,0.0,0.04,0.01,0.51,0.0,0.3
"[214, 84, 363, 424]",0.1,0.0,0.03,0.01,0.47,0.0,0.38
"[218, 86, 360, 425]",0.13,0.0,0.03,0.01,0.43,0.0,0.4
"[228, 94, 345, 417]",0.11,0.0,0.03,0.01,0.53,0.0,0.32
"[221, 86, 385, 455]",0.32,0.0,0.03,0.04,0.33,0.02,0.26
"[228, 98, 376, 444]",0.37,0.0,0.02,0.04,0.39,0.01,0.17
"[238, 106, 367, 438]",0.39,0.0,0.03,0.04,0.33,0.01,0.21
"[239, 112, 364, 434]",0.32,0.0,0.03,0.03,0.42,0.01,0.19
"[244, 99, 368, 454]",0.14,0.0,0.04,0.02,0.37,0.01,0.42
"[248, 138, 319, 389]",0.08,0.0,0.02,0.03,0.66,0.0,0.21
"[237, 129, 329, 381]",0.07,0.0,0.01,0.04,0.68,0.0,0.19
"[240, 130, 328, 376]",0.09,0.0,0.02,0.05,0.64,0.0,0.21
"[245, 123, 325, 376]",0.07,0.0,0.02,0.04,0.66,0.0,0.22
"[253, 123, 325, 386]",0.06,0.0,0.02,0.07,0.61,0.0,0.24
"[261, 113, 325, 384]",0.06,0.0,0.03,0.11,0.61,0.0,0.19
"[280, 106, 336, 404]",0.05,0.0,0.03,0.03,0.52,0.0,0.38
"[290, 101, 336, 403]",0.1,0.0,0.03,0.04,0.45,0.0,0.37
"[308, 112, 327, 395]",0.19,0.0,0.05,0.03,0.39,0.0,0.34
"[318, 108, 324, 392]",0.26,0.0,0.05,0.02,0.22,0.0,0.44
"[322, 91, 338, 406]",0.19,0.0,0.07,0.02,0.25,0.0,0.47
"[333, 107, 319, 388]",0.24,0.0,0.04,0.01,0.41,0.0,0.31
"[341, 85, 352, 418]",0.19,0.0,0.1,0.02,0.28,0.0,0.41
"[348, 91, 347, 417]",0.22,0.0,0.08,0.01,0.23,0.0,0.45
"[350, 110, 317, 388]",0.22,0.0,0.06,0.01,0.35,0.0,0.36
"[368, 128, 322, 390]",0.37,0.0,0.02,0.0,0.28,0.0,0.32
"[367, 99, 342, 414]",0.38,0.0,0.07,0.0,0.3,0.0,0.25
"[368, 118, 327, 396]",0.24,0.0,0.13,0.01,0.18,0.0,0.44
"[383, 123, 329, 391]",0.22,0.0,0.13,0.01,0.24,0.0,0.4
"[392, 120, 338, 401]",0.12,0.0,0.1,0.01,0.22,0.0,0.55
"[404, 129, 325, 386]",0.13,0.0,0.09,0.0,0.27,0.0,0.51
"[402, 120, 339, 402]",0.17,0.0,0.1,0.02,0.26,0.0,0.44
"[404, 124, 337, 403]",0.27,0.0,0.12,0.01,0.22,0.0,0.38
"[403, 123, 309, 377]",0.14,0.0,0.12,0.0,0.49,0.0,0.25
"[386, 141, 338, 413]",0.47,0.0,0.03,0.01,0.15,0.0,0.34
"[373, 148, 329, 414]",0.66,0.0,0.04,0.0,0.12,0.0,0.18
"[365, 139, 337, 410]",0.46,0.0,0.13,0.0,0.28,0.0,0.12
"[368, 151, 326, 415]",0.73,0.0,0.07,0.0,0.09,0.0,0.11
"[372, 144, 328, 418]",0.58,0.0,0.09,0.0,0.1,0.0,0.21
"[367, 144, 327, 421]",0.7,0.0,0.07,0.0,0.1,0.0,0.12
"[374, 139, 328, 424]",0.71,0.0,0.07,0.0,0.07,0.01,0.15
"[377, 143, 321, 421]",0.64,0.0,0.08,0.0,0.12,0.0,0.16
"[381, 129, 330, 421]",0.58,0.0,0.07,0.01,0.11,0.0,0.23
"[382, 127, 333, 420]",0.49,0.0,0.09,0.01,0.13,0.0,0.28
"[386, 124, 333, 424]",0.54,0.0,0.08,0.01,0.12,0.0,0.24
"[391, 119, 328, 414]",0.42,0.0,0.06,0.01,0.16,0.0,0.36
"[395, 116, 328, 413]",0.26,0.0,0.09,0.0,0.2,0.0,0.44
"[386, 121, 340, 419]",0.18,0.0,0.1,0.01,0.15,0.01,0.54
"[388, 124, 335, 416]",0.1,0.0,0.15,0.01,0.25,0.01,0.47
"[391, 123, 335, 417]",0.12,0.0,0.15,0.01,0.22,0.01,0.49
"[403, 130, 324, 406]",0.11,0.0,0.11,0.01,0.35,0.0,0.41
"[403, 127, 327, 409]",0.15,0.0,0.11,0.01,0.35,0.0,0.37
"[407, 129, 327, 408]",0.16,0.0,0.15,0.0,0.23,0.0,0.46
"[404, 118, 327, 409]",0.15,0.0,0.15,0.0,0.4,0.01,0.28
"[404, 116, 326, 410]",0.23,0.0,0.15,0.0,0.33,0.01,0.27
"[410, 121, 320, 416]",0.27,0.0,0.18,0.0,0.16,0.0,0.38
"[399, 119, 330, 420]",0.26,0.0,0.12,0.0,0.16,0.0,0.45
"[405, 120, 314, 416]",0.18,0.0,0.14,0.01,0.29,0.0,0.38
"[396, 116, 329, 427]",0.41,0.0,0.1,0.0,0.24,0.01,0.23
"[394, 112, 330, 432]",0.44,0.0,0.1,0.01,0.25,0.01,0.19
"[392, 110, 331, 432]",0.4,0.0,0.11,0.01,0.29,0.01,0.18
"[390, 109, 331, 430]",0.36,0.0,0.15,0.01,0.24,0.01,0.24
"[392, 111, 327, 422]",0.33,0.0,0.14,0.02,0.25,0.0,0.25
"[393, 110, 326, 421]",0.35,0.0,0.12,0.03,0.19,0.0,0.31
"[397, 110, 321, 411]",0.13,0.0,0.12,0.01,0.33,0.0,0.41
"[399, 110, 317, 407]",0.14,0.0,0.18,0.01,0.28,0.0,0.39
"[400, 107, 316, 408]",0.16,0.0,0.18,0.01,0.37,0.0,0.29
"[401, 108, 316, 405]",0.16,0.0,0.15,0.0,0.47,0.0,0.22
"[402, 107, 315, 405]",0.11,0.0,0.18,0.0,0.42,0.0,0.29
"[401, 109, 316, 403]",0.1,0.0,0.24,0.0,0.38,0.0,0.27
"[404, 111, 315, 400]",0.07,0.0,0.1,0.0,0.61,0.0,0.21
"[401, 109, 316, 402]",0.07,0.0,0.1,0.0,0.65,0.0,0.18
"[398, 109, 318, 407]",0.09,0.0,0.11,0.01,0.63,0.0,0.16
"[393, 105, 323, 417]",0.15,0.0,0.14,0.01,0.51,0.0,0.18
"[396, 102, 320, 415]",0.14,0.0,0.18,0.02,0.46,0.01,0.2
"[407, 99, 316, 413]",0.17,0.0,0.12,0.01,0.51,0.0,0.2
"[417, 102, 318, 411]",0.23,0.0,0.19,0.02,0.21,0.0,0.34
"[434, 101, 309, 406]",0.27,0.0,0.13,0.01,0.29,0.0,0.3
"[453, 103, 305, 404]",0.21,0.0,0.13,0.02,0.31,0.0,0.33
"[466, 101, 303, 397]",0.22,0.0,0.08,0.01,0.34,0.0,0.34
"[476, 98, 304, 404]",0.21,0.0,0.08,0.01,0.2,0.0,0.49
"[472, 96, 326, 420]",0.14,0.0,0.12,0.01,0.13,0.01,0.6
"[507, 113, 303, 393]",0.36,0.0,0.08,0.01,0.14,0.0,0.41
"[509, 106, 319, 422]",0.15,0.0,0.08,0.02,0.18,0.0,0.57
"[547, 126, 298, 393]",0.29,0.0,0.13,0.01,0.19,0.0,0.38
"[547, 117, 313, 422]",0.31,0.0,0.07,0.02,0.09,0.01,0.5
"[546, 120, 316, 423]",0.28,0.0,0.08,0.02,0.18,0.01,0.43
"[561, 136, 301, 392]",0.42,0.0,0.11,0.01,0.12,0.0,0.35
"[566, 145, 295, 371]",0.55,0.0,0.03,0.0,0.05,0.0,0.38
"[534, 125, 314, 404]",0.35,0.0,0.04,0.0,0.06,0.0,0.55
"[532, 124, 316, 403]",0.4,0.0,0.03,0.0,0.06,0.0,0.51
"[529, 117, 327, 414]",0.36,0.0,0.06,0.01,0.06,0.0,0.52
"[531, 117, 323, 419]",0.29,0.0,0.13,0.0,0.07,0.01,0.51
"[533, 119, 324, 421]",0.12,0.0,0.05,0.01,0.09,0.01,0.72
"[532, 115, 320, 415]",0.32,0.0,0.18,0.01,0.08,0.01,0.41
"[528, 118, 323, 414]",0.25,0.0,0.09,0.03,0.19,0.01,0.43
"[523, 99, 319, 416]",0.17,0.0,0.12,0.05,0.41,0.0,0.25
"[501, 102, 336, 427]",0.07,0.0,0.06,0.06,0.46,0.0,0.34
"[499, 104, 333, 432]",0.08,0.0,0.06,0.06,0.55,0.0,0.24
"[518, 94, 324, 425]",0.2,0.0,0.1,0.19,0.34,0.02,0.15
"[519, 92, 324, 430]",0.25,0.0,0.13,0.07,0.4,0.02,0.14
"[522, 98, 319, 422]",0.22,0.0,0.19,0.1,0.28,0.03,0.17
"[516, 96, 324, 427]",0.2,0.0,0.12,0.12,0.32,0.03,0.2
"[510, 94, 322, 427]",0.22,0.0,0.14,0.11,0.22,0.08,0.23
"[502, 94, 321, 420]",0.17,0.0,0.18,0.07,0.19,0.05,0.33
"[492, 91, 327, 424]",0.12,0.0,0.2,0.07,0.16,0.02,0.43
"[484, 89, 330, 428]",0.09,0.0,0.1,0.04,0.18,0.01,0.58
"[476, 92, 329, 430]",0.12,0.0,0.21,0.05,0.2,0.02,0.41
"[469, 93, 331, 429]",0.15,0.0,0.17,0.05,0.17,0.02,0.44
"[464, 98, 327, 418]",0.15,0.0,0.13,0.06,0.16,0.02,0.47
"[455, 96, 327, 417]",0.23,0.0,0.41,0.03,0.12,0.03,0.19
"[451, 107, 317, 398]",0.25,0.0,0.25,0.02,0.22,0.02,0.24
"[469, 123, 296, 372]",0.5,0.0,0.23,0.01,0.16,0.02,0.08
"[465, 123, 295, 372]",0.38,0.0,0.3,0.01,0.21,0.04,0.05
"[463, 119, 297, 375]",0.32,0.0,0.36,0.01,0.21,0.09,0.02
"[421, 95, 332, 432]",0.3,0.0,0.33,0.03,0.21,0.06,0.06
"[422, 96, 327, 428]",0.2,0.0,0.42,0.02,0.25,0.03,0.07
"[420, 94, 326, 428]",0.25,0.0,0.31,0.02,0.33,0.03,0.06
"[444, 100, 307, 397]",0.31,0.0,0.37,0.0,0.23,0.04,0.04
"[414, 81, 330, 435]",0.16,0.0,0.23,0.12,0.28,0.08,0.14
"[417, 81, 325, 418]",0.21,0.0,0.2,0.03,0.18,0.03,0.35
"[421, 88, 315, 399]",0.25,0.0,0.14,0.01,0.09,0.0,0.5
"[418, 88, 317, 398]",0.28,0.0,0.11,0.01,0.08,0.01,0.51
"[416, 90, 318, 398]",0.24,0.0,0.21,0.01,0.07,0.03,0.45
"[416, 93, 318, 396]",0.24,0.0,0.27,0.01,0.08,0.03,0.37
"[422, 98, 314, 389]",0.33,0.0,0.17,0.01,0.08,0.03,0.38
"[420, 97, 313, 390]",0.34,0.0,0.07,0.0,0.07,0.0,0.52
"[416, 95, 314, 391]",0.39,0.0,0.13,0.0,0.08,0.02,0.37
"[433, 114, 294, 366]",0.34,0.0,0.13,0.01,0.14,0.0,0.38
"[406, 95, 310, 397]",0.08,0.0,0.07,0.01,0.45,0.0,0.39
"[417, 102, 298, 382]",0.09,0.0,0.07,0.0,0.37,0.0,0.47
"[411, 95, 308, 403]",0.12,0.0,0.09,0.01,0.3,0.0,0.48
"[412, 95, 306, 399]",0.15,0.0,0.07,0.01,0.33,0.0,0.43
"[404, 93, 311, 405]",0.14,0.0,0.07,0.01,0.29,0.0,0.49
"[412, 101, 297, 384]",0.15,0.0,0.04,0.0,0.15,0.0,0.65
"[384, 91, 320, 412]",0.2,0.0,0.13,0.05,0.15,0.01,0.46
"[378, 81, 313, 418]",0.15,0.0,0.24,0.03,0.39,0.04,0.15
"[379, 84, 309, 411]",0.1,0.0,0.21,0.08,0.3,0.07,0.24
"[391, 96, 313, 391]",0.16,0.0,0.23,0.04,0.32,0.0,0.25
"[385, 94, 307, 405]",0.15,0.0,0.15,0.04,0.29,0.0,0.38
"[384, 91, 314, 418]",0.21,0.0,0.19,0.04,0.2,0.01,0.35
"[377, 84, 314, 421]",0.11,0.0,0.2,0.04,0.43,0.02,0.2
"[376, 80, 319, 430]",0.06,0.0,0.28,0.1,0.33,0.09,0.14
"[390, 85, 321, 429]",0.14,0.0,0.24,0.21,0.23,0.01,0.17
"[400, 85, 327, 424]",0.24,0.0,0.09,0.02,0.1,0.01,0.54
"[410, 95, 314, 408]",0.28,0.0,0.07,0.0,0.18,0.0,0.47
"[410, 87, 326, 422]",0.22,0.0,0.08,0.01,0.14,0.0,0.55
"[408, 96, 312, 413]",0.17,0.0,0.17,0.0,0.17,0.01,0.48
"[406, 92, 318, 411]",0.09,0.0,0.27,0.0,0.19,0.03,0.42
"[404, 92, 323, 419]",0.13,0.0,0.48,0.01,0.13,0.04,0.22
"[413, 103, 320, 407]",0.16,0.0,0.4,0.02,0.19,0.03,0.2
"[411, 98, 324, 415]",0.15,0.0,0.29,0.03,0.36,0.01,0.15
"[416, 96, 325, 414]",0.15,0.0,0.19,0.13,0.31,0.01,0.21
"[419, 90, 324, 412]",0.14,0.0,0.12,0.16,0.35,0.01,0.22
"[418, 86, 333, 411]",0.08,0.0,0.15,0.23,0.17,0.16,0.21
"[445, 77, 311, 393]",0.07,0.0,0.1,0.31,0.23,0.05,0.24
"[442, 78, 322, 396]",0.04,0.0,0.09,0.27,0.15,0.14,0.32
"[451, 77, 313, 398]",0.04,0.0,0.07,0.17,0.23,0.07,0.41
"[458, 79, 313, 397]",0.07,0.0,0.06,0.31,0.3,0.05,0.21
"[468, 85, 308, 398]",0.06,0.0,0.05,0.25,0.26,0.07,0.31
"[475, 89, 303, 400]",0.08,0.0,0.07,0.34,0.12,0.2,0.19
"[470, 88, 307, 415]",0.08,0.0,0.07,0.15,0.16,0.27,0.27
"[471, 89, 296, 392]",0.06,0.0,0.04,0.27,0.11,0.13,0.39
"[449, 90, 315, 394]",0.07,0.0,0.04,0.31,0.13,0.09,0.37
"[440, 89, 322, 399]",0.08,0.0,0.1,0.24,0.15,0.16,0.27
"[440, 86, 312, 387]",0.07,0.0,0.15,0.15,0.18,0.2,0.25
"[436, 83, 315, 394]",0.03,0.0,0.06,0.21,0.17,0.07,0.46
"[439, 85, 312, 394]",0.03,0.0,0.03,0.22,0.12,0.03,0.56
"[444, 100, 299, 383]",0.05,0.0,0.08,0.1,0.13,0.16,0.48
"[441, 94, 307, 392]",0.08,0.0,0.08,0.04,0.25,0.03,0.52
"[440, 92, 308, 388]",0.05,0.0,0.08,0.05,0.23,0.02,0.57
"[441, 96, 293, 370]",0.04,0.0,0.29,0.02,0.19,0.03,0.43
"[434, 92, 297, 374]",0.06,0.0,0.26,0.02,0.19,0.02,0.45
"[426, 86, 304, 378]",0.08,0.0,0.16,0.02,0.19,0.02,0.53
"[426, 78, 301, 386]",0.1,0.0,0.09,0.03,0.17,0.01,0.61
"[434, 82, 296, 379]",0.06,0.0,0.04,0.02,0.22,0.0,0.66
"[444, 90, 291, 370]",0.07,0.0,0.08,0.01,0.23,0.0,0.6
"[442, 91, 291, 375]",0.07,0.0,0.08,0.01,0.21,0.0,0.63
"[426, 85, 305, 394]",0.06,0.0,0.06,0.03,0.15,0.0,0.71
"[420, 92, 298, 388]",0.06,0.0,0.04,0.01,0.12,0.0,0.77
"[418, 97, 302, 388]",0.15,0.0,0.09,0.01,0.15,0.0,0.6
"[404, 87, 318, 416]",0.1,0.0,0.06,0.03,0.09,0.01,0.71
"[414, 96, 313, 412]",0.08,0.0,0.08,0.01,0.15,0.0,0.67
"[434, 105, 306, 404]",0.19,0.0,0.12,0.01,0.24,0.0,0.45
"[441, 119, 306, 389]",0.22,0.0,0.14,0.01,0.21,0.0,0.42
"[452, 119, 295, 385]",0.18,0.0,0.05,0.0,0.16,0.0,0.6
"[447, 117, 297, 379]",0.4,0.0,0.07,0.0,0.12,0.0,0.4
"[451, 120, 292, 366]",0.54,0.0,0.13,0.0,0.09,0.01,0.22
"[447, 108, 303, 374]",0.45,0.0,0.15,0.0,0.17,0.03,0.19
"[432, 85, 311, 412]",0.14,0.0,0.29,0.01,0.15,0.06,0.35
"[439, 99, 312, 401]",0.1,0.0,0.2,0.09,0.17,0.09,0.35
"[436, 91, 320, 410]",0.13,0.0,0.17,0.09,0.18,0.04,0.38
"[431, 98, 329, 412]",0.21,0.0,0.26,0.09,0.16,0.08,0.2
"[442, 98, 319, 396]",0.27,0.0,0.2,0.02,0.14,0.04,0.33
"[441, 100, 316, 391]",0.31,0.0,0.1,0.01,0.14,0.01,0.44
"[432, 93, 313, 400]",0.13,0.0,0.08,0.01,0.3,0.0,0.49
"[429, 92, 311, 403]",0.06,0.0,0.08,0.0,0.4,0.0,0.46
"[442, 100, 305, 383]",0.22,0.0,0.18,0.01,0.31,0.0,0.28
"[415, 88, 316, 397]",0.15,0.0,0.11,0.01,0.28,0.0,0.44
"[400, 89, 317, 396]",0.13,0.0,0.14,0.03,0.23,0.01,0.46
"[397, 80, 314, 393]",0.18,0.0,0.15,0.02,0.21,0.02,0.43
"[404, 92, 309, 379]",0.11,0.0,0.2,0.01,0.19,0.01,0.49
"[400, 84, 310, 380]",0.09,0.0,0.14,0.03,0.2,0.0,0.53
"[395, 81, 310, 380]",0.07,0.0,0.19,0.02,0.18,0.01,0.54
"[390, 82, 307, 374]",0.07,0.0,0.28,0.01,0.26,0.0,0.37
"[383, 85, 304, 375]",0.1,0.0,0.18,0.01,0.25,0.0,0.44
"[361, 80, 315, 383]",0.07,0.0,0.22,0.01,0.23,0.01,0.47
"[354, 84, 316, 376]",0.08,0.0,0.13,0.0,0.2,0.0,0.59
"[353, 94, 303, 376]",0.12,0.0,0.11,0.0,0.15,0.0,0.62
"[336, 90, 317, 390]",0.09,0.0,0.1,0.0,0.15,0.01,0.65
"[336, 97, 316, 384]",0.08,0.0,0.14,0.0,0.18,0.01,0.59
"[328, 92, 322, 400]",0.11,0.0,0.21,0.01,0.16,0.07,0.45
"[327, 91, 322, 402]",0.16,0.0,0.2,0.0,0.23,0.05,0.36
"[337, 93, 308, 397]",0.09,0.0,0.36,0.01,0.14,0.19,0.21
"[336, 94, 309, 397]",0.11,0.0,0.37,0.01,0.26,0.08,0.18
"[329, 81, 318, 405]",0.14,0.0,0.29,0.01,0.31,0.15,0.11
"[329, 81, 318, 405]",0.13,0.0,0.3,0.0,0.32,0.14,0.11
"[331, 79, 317, 406]",0.13,0.0,0.3,0.01,0.29,0.21,0.07
"[330, 79, 318, 405]",0.14,0.0,0.29,0.01,0.29,0.19,0.08
"[336, 85, 312, 404]",0.08,0.0,0.4,0.02,0.23,0.22,0.05
"[331, 75, 321, 412]",0.09,0.0,0.46,0.01,0.09,0.31,0.04
"[338, 85, 311, 406]",0.1,0.0,0.34,0.02,0.21,0.25,0.08
"[340, 85, 310, 399]",0.19,0.0,0.21,0.06,0.15,0.13,0.26
"[340, 82, 313, 396]",0.13,0.0,0.29,0.03,0.12,0.16,0.27
"[338, 83, 320, 395]",0.13,0.0,0.11,0.02,0.14,0.01,0.58
"[353, 93, 302, 377]",0.16,0.0,0.05,0.01,0.1,0.0,0.68
"[350, 85, 311, 388]",0.12,0.0,0.09,0.02,0.12,0.0,0.66
"[346, 76, 320, 393]",0.12,0.0,0.14,0.01,0.07,0.03,0.63
"[351, 81, 316, 388]",0.12,0.0,0.1,0.02,0.09,0.0,0.67
"[357, 82, 312, 385]",0.13,0.0,0.16,0.02,0.08,0.01,0.6
"[363, 86, 308, 379]",0.14,0.0,0.1,0.01,0.15,0.0,0.6
"[366, 88, 308, 376]",0.17,0.0,0.11,0.02,0.1,0.0,0.6
"[361, 86, 314, 380]",0.22,0.0,0.1,0.02,0.06,0.01,0.58
"[362, 86, 316, 384]",0.26,0.0,0.16,0.02,0.04,0.02,0.49
"[363, 89, 319, 387]",0.12,0.0,0.05,0.01,0.08,0.0,0.73
"[367, 93, 317, 393]",0.09,0.0,0.02,0.01,0.05,0.0,0.84
"[373, 108, 307, 389]",0.11,0.0,0.05,0.01,0.06,0.0,0.75
"[362, 111, 321, 403]",0.06,0.0,0.03,0.01,0.16,0.0,0.74
"[370, 124, 317, 405]",0.23,0.0,0.08,0.01,0.33,0.0,0.35
"[364, 128, 325, 417]",0.38,0.0,0.1,0.01,0.34,0.0,0.17
"[376, 125, 320, 421]",0.47,0.0,0.1,0.02,0.2,0.0,0.22
"[366, 126, 331, 428]",0.39,0.0,0.08,0.01,0.19,0.0,0.32
"[370, 132, 330, 418]",0.25,0.0,0.03,0.02,0.09,0.0,0.61
"[378, 128, 323, 414]",0.15,0.0,0.03,0.01,0.07,0.0,0.76
"[382, 129, 322, 404]",0.17,0.0,0.04,0.01,0.07,0.0,0.71
"[383, 125, 321, 404]",0.18,0.0,0.03,0.0,0.09,0.0,0.69
"[382, 119, 322, 405]",0.19,0.0,0.03,0.0,0.09,0.0,0.69
"[377, 115, 328, 409]",0.24,0.0,0.03,0.0,0.09,0.0,0.64
"[379, 111, 323, 403]",0.27,0.0,0.04,0.0,0.08,0.0,0.6
"[396, 106, 309, 403]",0.18,0.0,0.07,0.01,0.08,0.0,0.65
"[399, 107, 304, 395]",0.26,0.0,0.16,0.01,0.11,0.01,0.45
"[394, 103, 315, 397]",0.19,0.0,0.21,0.01,0.21,0.02,0.36
"[398, 100, 316, 400]",0.11,0.0,0.23,0.01,0.21,0.01,0.43
"[390, 96, 323, 410]",0.08,0.0,0.3,0.02,0.16,0.02,0.42
"[392, 93, 318, 414]",0.11,0.0,0.25,0.05,0.23,0.05,0.3
"[402, 90, 317, 400]",0.15,0.0,0.38,0.02,0.25,0.05,0.14
"[395, 89, 323, 411]",0.09,0.0,0.32,0.05,0.21,0.07,0.26
"[396, 89, 322, 411]",0.12,0.0,0.2,0.09,0.35,0.04,0.2
"[392, 83, 327, 420]",0.07,0.0,0.39,0.05,0.24,0.04,0.2
"[392, 83, 328, 420]",0.08,0.0,0.37,0.07,0.26,0.06,0.16
"[394, 84, 324, 418]",0.08,0.0,0.29,0.08,0.33,0.05,0.16
"[392, 84, 325, 419]",0.08,0.0,0.38,0.05,0.27,0.07,0.14
"[392, 85, 326, 417]",0.09,0.0,0.19,0.08,0.44,0.04,0.16
"[398, 79, 322, 421]",0.11,0.0,0.42,0.04,0.23,0.03,0.16
"[397, 79, 323, 422]",0.11,0.0,0.38,0.04,0.24,0.03,0.2
"[395, 77, 326, 425]",0.1,0.0,0.4,0.04,0.22,0.04,0.2
"[397, 78, 322, 420]",0.09,0.0,0.37,0.06,0.26,0.05,0.17
"[405, 88, 306, 399]",0.1,0.0,0.24,0.04,0.55,0.03,0.04
"[400, 93, 307, 393]",0.03,0.0,0.06,0.02,0.87,0.0,0.02
"[384, 89, 320, 405]",0.06,0.0,0.08,0.02,0.78,0.0,0.06
"[385, 90, 318, 402]",0.05,0.0,0.08,0.03,0.75,0.0,0.08
"[395, 95, 308, 387]",0.04,0.0,0.13,0.02,0.77,0.0,0.04
"[391, 96, 310, 387]",0.04,0.0,0.11,0.02,0.79,0.0,0.04
"[392, 98, 308, 386]",0.03,0.0,0.08,0.02,0.82,0.0,0.04
"[380, 90, 319, 400]",0.05,0.0,0.09,0.01,0.79,0.0,0.05
"[380, 91, 319, 400]",0.03,0.0,0.06,0.01,0.84,0.0,0.05
"[382, 93, 319, 401]",0.08,0.0,0.06,0.01,0.79,0.0,0.06
"[393, 91, 309, 399]",0.13,0.0,0.13,0.02,0.66,0.01,0.05
"[384, 91, 322, 404]",0.12,0.0,0.16,0.01,0.65,0.01,0.06
"[402, 95, 302, 394]",0.3,0.0,0.18,0.01,0.46,0.02,0.03
"[396, 87, 307, 405]",0.23,0.0,0.27,0.01,0.43,0.02,0.04
"[397, 86, 307, 407]",0.23,0.0,0.27,0.01,0.42,0.02,0.04
"[398, 85, 309, 409]",0.24,0.0,0.25,0.01,0.42,0.02,0.05
"[394, 80, 322, 415]",0.36,0.0,0.3,0.01,0.28,0.02,0.04
"[393, 79, 325, 415]",0.33,0.0,0.31,0.0,0.3,0.02,0.04
"[395, 79, 323, 415]",0.35,0.0,0.28,0.0,0.32,0.01,0.03
"[395, 79, 323, 414]",0.45,0.0,0.23,0.0,0.28,0.01,0.03
"[396, 80, 322, 414]",0.36,0.0,0.27,0.01,0.27,0.03,0.05
"[398, 78, 321, 416]",0.47,0.0,0.23,0.01,0.24,0.02,0.03
"[399, 78, 322, 417]",0.52,0.0,0.17,0.01,0.26,0.01,0.02
"[400, 77, 323, 421]",0.5,0.0,0.19,0.01,0.28,0.01,0.02
"[414, 96, 302, 392]",0.35,0.0,0.4,0.01,0.23,0.01,0.0
"[416, 93, 303, 394]",0.31,0.0,0.27,0.01,0.4,0.01,0.0
"[418, 89, 303, 399]",0.22,0.0,0.26,0.02,0.46,0.01,0.04
"[403, 75, 319, 415]",0.27,0.0,0.18,0.15,0.16,0.03,0.21
"[405, 77, 316, 409]",0.4,0.0,0.11,0.02,0.13,0.0,0.33
"[412, 77, 313, 397]",0.26,0.0,0.09,0.0,0.12,0.0,0.53
"[413, 77, 314, 400]",0.42,0.0,0.06,0.0,0.11,0.0,0.4
"[412, 84, 310, 401]",0.36,0.0,0.06,0.01,0.25,0.0,0.33
"[411, 82, 313, 413]",0.24,0.0,0.19,0.08,0.39,0.01,0.1
"[413, 84, 316, 414]",0.21,0.0,0.15,0.02,0.55,0.01,0.04
"[436, 94, 305, 400]",0.35,0.0,0.12,0.01,0.47,0.0,0.04
